AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
TERRY,M,13,Labrador Retriever,Manhattan
MISTY,F,8,Maltese,Manhattan
MIKEY,M,3,Maltese,Staten Island
CAPONE,M,12,Unknown,Staten Island
BENEDICT,M,3,"Poodle, Miniature",Manhattan
LILLY,F,12,Miniature Pinscher,Manhattan
JORDAN,M,3,American Pit Bull Terrier/Pit Bull,Manhattan
KENJI,M,5,Shiba Inu,Bronx
EWOK,F,5,"Bull Dog, French",Brooklyn
PIPER,M,8,Pomeranian,Manhattan
CHLOE,F,5,Miniature Pinscher,Staten Island
MOLLY,F,12,Bichon Frise,Staten Island
HATTIE,F,17,Unknown,Brooklyn
JACK,M,10,Shih Tzu,Manhattan
VANESSA,F,7,Havanese,Queens
LUCKY,F,12,Lhasa Apso,Manhattan
SEAMUS,M,4,Golden Retriever,Manhattan
BUBBA,M,17,Golden Retriever,Staten Island
STITCH,F,7,"Bull Dog, French",Brooklyn
SULTAN,M,3,Unknown,Bronx
SPARKY,M,16,Unknown,Queens
MELLO,F,12,Unknown,Queens
BELLE,F,17,"Schnauzer, Miniature",Manhattan
LEO,M,6,Shih Tzu,Bronx
DITTO,M,16,Pekingese,Staten Island
JULIETTE,F,14,"Poodle, Standard",Brooklyn
SADIE,F,12,Unknown,Brooklyn
SCOUT,M,4,Golden Retriever,Manhattan
HAZEL,F,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
KONTA,M,4,Australian Cattledog,Queens
DAISY,F,14,"Schnauzer, Standard",Staten Island
SAMANTHA,F,7,Labrador Retriever,Brooklyn
REX,M,3,Chihuahua,Brooklyn
CARA,F,11,Pekingese,Manhattan
ANGEL,F,12,Labrador Retriever Crossbreed,Queens
ABBY,F,16,Afghan Hound,Manhattan
CHARLIE,M,17,Unknown,Queens
PARKER,M,11,Brussels Griffon,Manhattan
SNOOPY,M,16,Maltese,Manhattan
MACY,M,9,Pomeranian,Brooklyn
JACKIE,F,3,Jack Russell Terrier,Queens
DANGER,M,13,Unknown,Bronx
DAISY,F,4,Beagle,Bronx
LIL,M,4,American Pit Bull Terrier/Pit Bull,Bronx
GYPSY,F,3,Pomeranian,Bronx
MIA,F,18,"Poodle, Miniature",Manhattan
SULTAN,M,4,Rottweiler,Queens
CHARLY,M,5,Yorkshire Terrier,Manhattan
COCO,M,11,Chihuahua,Manhattan
BILLY,M,3,German Shepherd Crossbreed,Manhattan
RILEY,M,14,Unknown,Manhattan
LUCKY,M,2,Siberian Husky,Brooklyn
ROCKY,M,4,"Poodle, Standard",Manhattan
WILLOW,F,3,Labrador Retriever,Brooklyn
CHAP,M,6,"Welsh Corgi, Pembroke",Manhattan
CARMELO,M,3,American Pit Bull Terrier/Pit Bull,Bronx
RITA,F,3,Great Dane,Queens
STORM,F,3,American Pit Bull Terrier/Pit Bull,Brooklyn
LILY,F,6,"Bull Dog, French",Manhattan
OSCAR,M,3,Unknown,Bronx
WINNIE,F,11,Unknown,Bronx
